nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000001,Fred Astaire,1899,1987,"soundtrack,actor,miscellaneous","tt0031983,tt0050419,tt0072308,tt0053137"
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack","tt0037382,tt0117057,tt0038355,tt0075213"
nm0000003,Brigitte Bardot,1934,\N,"actress,soundtrack,music_department","tt0049189,tt0054452,tt0056404,tt0057345"
nm0000004,John Belushi,1949,1982,"actor,soundtrack,writer","tt0078723,tt0080455,tt0072562,tt0077975"
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0050976,tt0050986,tt0069467,tt0083922"
nm0000006,Ingrid Bergman,1915,1982,"actress,soundtrack,producer","tt0036855,tt0038109,tt0034583,tt0038787"
nm0000007,Humphrey Bogart,1899,1957,"actor,soundtrack,producer","tt0037382,tt0043265,tt0042593,tt0034583"
nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director","tt0068646,tt0047296,tt0078788,tt0070849"
nm0000009,Richard Burton,1925,1984,"actor,soundtrack,producer","tt0061184,tt0057877,tt0059749,tt0087803"
nm0000010,James Cagney,1899,1986,"actor,soundtrack,director","tt0031867,tt0029870,tt0042041,tt0035575"
nm0000011,Gary Cooper,1901,1961,"actor,soundtrack,stunts","tt0044706,tt0035896,tt0027996,tt0034167"
nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0056687,tt0031210,tt0042192,tt0035140"
nm0000013,Doris Day,1922,2019,"soundtrack,actress,producer","tt0049470,tt0053172,tt0045591,tt0048317"
nm0000014,Olivia de Havilland,1916,2020,"actress,soundtrack","tt0041452,tt0029843,tt0040806,tt0031381"
nm0000015,James Dean,1931,1955,"actor,miscellaneous","tt0049261,tt0048545,tt0048028,tt0043228"
nm0000016,Georges Delerue,1925,1992,"composer,soundtrack,music_department","tt0091763,tt8847712,tt0096320,tt0069946"
nm0000017,Marlene Dietrich,1901,1992,"soundtrack,actress,music_department","tt0021156,tt0051201,tt0052311,tt0055031"
nm0000018,Kirk Douglas,1916,2020,"actor,producer,soundtrack","tt0080736,tt0054331,tt0050825,tt0049456"
nm0000019,Federico Fellini,1920,1993,"writer,director,actor","tt0053779,tt0056801,tt0050783,tt0071129"
nm0000020,Henry Fonda,1905,1982,"actor,producer,soundtrack","tt0050083,tt0032551,tt0051207,tt0082846"
nm0000021,Joan Fontaine,1917,2013,"actress,soundtrack,producer","tt0035751,tt0034248,tt0032976,tt0036969"
nm0000022,Clark Gable,1901,1960,"actor,soundtrack,producer","tt0026752,tt0025316,tt0023382,tt0031381"
nm0000023,Judy Garland,1922,1969,"soundtrack,actress","tt0032138,tt0037059,tt0047522,tt0055031"
nm0000024,John Gielgud,1904,2000,"actor,writer,director","tt0045943,tt0071877,tt0082031,tt0117631"
nm0000025,Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer","tt0077269,tt0112715,tt0117731,tt0119488"
nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer","tt0034248,tt0053125,tt0056923,tt0048728"
nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer","tt0076759,tt0051739,tt0041546,tt0050212"
nm0000028,Rita Hayworth,1918,1987,"actress,soundtrack,producer","tt0038559,tt0040525,tt0036723,tt0035103"
nm0000029,Margaux Hemingway,1954,1996,"actress,miscellaneous","tt0077800,tt0074802,tt0110138,tt0102122"
nm0000030,Audrey Hepburn,1929,1993,"actress,soundtrack","tt0054698,tt0046250,tt0058385,tt0056923"
nm0000031,Katharine Hepburn,1907,2003,"actress,soundtrack,writer","tt0043265,tt0063227,tt0082846,tt0032904"
nm0000032,Charlton Heston,1923,2008,"actor,director,soundtrack","tt0067525,tt0063442,tt0049833,tt0052618"
nm0000033,Alfred Hitchcock,1899,1980,"director,producer,writer","tt0056869,tt0052357,tt0053125,tt0054215"
nm0000034,William Holden,1918,1981,"actor,soundtrack,miscellaneous","tt0074958,tt0047437,tt0046359,tt0043014"
nm0000035,James Horner,1953,2015,"music_department,soundtrack,composer","tt0120746,tt0120338,tt0177971,tt0499549"
nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0017925,tt0015324,tt0016332,tt0015163"
nm0000037,Gene Kelly,1912,1996,"soundtrack,actor,miscellaneous","tt0041716,tt0053946,tt0045152,tt0043278"
nm0000038,Grace Kelly,1929,1982,"actress,soundtrack,producer","tt0046874,tt0047396,tt0048728,tt0046912"
nm0000039,Deborah Kerr,1921,2007,"actress,soundtrack","tt0039192,tt0045793,tt0050105,tt0049408"
nm0000040,Stanley Kubrick,1928,1999,"director,writer,producer","tt0120663,tt0062622,tt0066921,tt0072684"
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0089881,tt0080979,tt0051808,tt0047478"
nm0000042,Alan Ladd,1913,1964,"actor,producer,camera_department","tt0035432,tt0046303,tt0039056,tt0038369"
nm0000043,Veronica Lake,1922,1973,"actress,soundtrack,producer","tt0034881,tt0035432,tt0034240,tt0038369"
nm0000044,Burt Lancaster,1913,1994,"actor,producer,soundtrack","tt0045793,tt0051036,tt0085859,tt0057091"
nm0000045,Bruce Lee,1940,1973,"actor,writer,miscellaneous","tt0067824,tt0068767,tt0068935,tt0070034"
nm0000046,Vivien Leigh,1913,1967,"actress,soundtrack,writer","tt0034272,tt0031381,tt0044081,tt0033238"
nm0000047,Sophia Loren,1934,\N,"actress,soundtrack","tt0058335,tt0076085,tt0054749,tt0060121"
nm0000048,Peter Lorre,1904,1964,"actor,soundtrack,writer","tt0034583,tt0022100,tt0033870,tt0036613"
nm0000049,Henry Mancini,1924,1994,"music_department,soundtrack,composer","tt0085101,tt0383216,tt0054698,tt0057413"
nm0000050,Groucho Marx,1890,1977,"soundtrack,actor,writer","tt0023027,tt0028772,tt0026778,tt0023969"
nm0000051,James Mason,1909,1984,"actor,producer,writer","tt0047522,tt0084855,tt0056193,tt0053125"
nm0000052,Marcello Mastroianni,1924,1996,"actor,producer,soundtrack","tt0056801,tt0076085,tt0053779,tt0058335"
nm0000053,Robert Mitchum,1917,1997,"actor,soundtrack,producer","tt0056197,tt0048424,tt0039689,tt0050356"
nm0000054,Marilyn Monroe,1926,1962,"soundtrack,actress,writer","tt0053291,tt0048605,tt0045891,tt0045810"
nm0000055,Alfred Newman,1900,1970,"music_department,composer,soundtrack","tt0434409,tt0065377,tt0042192,tt0049408"
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0257044,tt0110684,tt0054997,tt0084855"
nm0000057,David Niven,1910,1983,"actor,producer,soundtrack","tt0057413,tt0048960,tt0052182,tt0074937"
nm0000058,Maureen O'Hara,1920,2015,"actress,soundtrack","tt0039628,tt0033729,tt0055277,tt0045061"
nm0000059,Laurence Olivier,1907,1989,"actor,producer,director","tt0077269,tt0032976,tt0069281,tt0074860"
nm0000060,Gregory Peck,1916,2003,"actor,producer,soundtrack","tt0038109,tt0077269,tt0056592,tt0046250"
nm0000061,Tyrone Power,1914,1958,"actor,soundtrack,producer","tt0042256,tt0051201,tt0043959,tt0034405"
nm0000062,Elvis Presley,1935,1977,"music_artist,soundtrack,actor","tt0058725,tt0054692,tt0056023,tt0056585"
nm0000063,Anthony Quinn,1915,2001,"actor,producer,soundtrack","tt0056172,tt0057831,tt0064952,tt0049456"
nm0000064,Edward G. Robinson,1893,1973,"actor,soundtrack,writer","tt0038991,tt0038057,tt0036775,tt0040506"
nm0000065,Nino Rota,1911,1979,"composer,soundtrack,music_department","tt0068646,tt0063518,tt0056801,tt0071562"
nm0000066,Jane Russell,1921,2011,"actress,soundtrack,producer","tt0043476,tt0043643,tt0045810,tt0044863"
nm0000067,Miklós Rózsa,1907,1995,"music_department,composer,soundtrack","tt0038109,tt0052618,tt0054847,tt0036775"
nm0000068,Randolph Scott,1898,1987,"actor,producer,soundtrack","tt0056412,tt0046375,tt0029284,tt0026942"
nm0000069,Frank Sinatra,1915,1998,"music_artist,soundtrack,actor","tt0052218,tt0048347,tt0045793,tt0056218"
nm0000070,Max Steiner,1888,1971,"music_department,composer,soundtrack","tt0040897,tt0031381,tt0034583,tt0036613"
nm0000071,James Stewart,1908,1997,"actor,soundtrack,director","tt0052561,tt0052357,tt0032904,tt0038650"
nm0000072,Elizabeth Taylor,1932,2011,"actress,soundtrack,producer","tt0051459,tt0053318,tt0061184,tt0061407"
nm0000073,Shirley Temple,1928,2014,"actress,soundtrack,writer","tt0024914,tt0031580,tt0016029,tt0030657"
nm0000074,Gene Tierney,1920,1991,"actress,soundtrack","tt0037008,tt0035979,tt0039420,tt0037865"
nm0000075,Spencer Tracy,1900,1967,"actor,soundtrack","tt0055031,tt0053946,tt0061735,tt0047849"
nm0000076,François Truffaut,1932,1984,"writer,director,producer","tt0070460,tt0075860,tt0055032,tt0053198"
nm0000077,Franz Waxman,1906,1967,"music_department,composer,soundtrack","tt0032976,tt0043014,tt0026138,tt0034248"
nm0000078,John Wayne,1907,1979,"actor,producer,soundtrack","tt0075213,tt0065126,tt0056217,tt0053580"
nm0000079,Raquel Welch,1940,2023,"actress,soundtrack,producer","tt0068675,tt0061653,tt0072281,tt0066115"
nm0000080,Orson Welles,1915,1985,"actor,writer,director","tt0040525,tt0052311,tt0057427,tt0033467"
nm0000081,Natalie Wood,1938,1981,"actress,soundtrack,music_department","tt0057263,tt0055471,tt0048545,tt0055614"
nm0000082,Victor Young,1899,1956,"music_department,soundtrack,composer","tt3315342,tt0048960,tt0119094,tt0045061"
nm0000083,Alan Miller,\N,\N,"editor,writer,director","tt0969216,tt0424773,tt19064180,tt27504185"
nm0000084,Gong Li,1965,\N,"actress,producer,miscellaneous","tt0397535,tt0473444,tt0101640,tt4566758"
nm0000085,Henner Hofmann,1950,\N,"cinematographer,producer,camera_department","tt0113482,tt1825758,tt0097523,tt0097738"
nm0000086,Louis de Funès,1914,1983,"actor,writer,director","tt0079200,tt0074103,tt0069747,tt0064425"
nm0000087,Elena Koreneva,1953,\N,"actress,casting_director,soundtrack","tt0123138,tt5847740,tt7529350,tt0122969"
nm0000088,Aleksey Korenev,1927,1995,"director,writer,assistant_director","tt0191104,tt0063752,tt0100069,tt0068304"
nm0000089,Richard Paul,1940,1998,"actor,soundtrack","tt0075489,tt0076009,tt0088529,tt0117318"
nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0963178,tt0765443,tt0117631,tt0139809"
nm0000091,Gérard Pirès,1942,\N,"director,writer,actor","tt0421974,tt0064297,tt0152930,tt0282552"
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0095159,tt0063929,tt0071853,tt0085959"
nm0000093,Brad Pitt,1963,\N,"producer,actor,soundtrack","tt0356910,tt0114746,tt1210166,tt0137523"
nm0000094,J. Reifel,\N,\N,writer,"tt0118631,tt0118886,tt0116030,tt0117915"
nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0118954,tt0075686,tt0079522,tt0091167"
nm0000096,Gillian Anderson,1968,\N,"actress,producer,soundtrack","tt0106179,tt0455590,tt0442632,tt2294189"
nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0893509,tt0426592,tt0306047,tt0115624"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0108778,tt0279113,tt1723121,tt3442006"
nm0000099,Patricia Arquette,1968,\N,"actress,producer,director","tt1065073,tt0108399,tt0412175,tt0145531"
nm0000100,Rowan Atkinson,1955,\N,"actor,writer,soundtrack","tt1634122,tt0274166,tt0118689,tt0110357"
nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0080455,tt0087332,tt0102558,tt0118747"
nm0000102,Kevin Bacon,1958,\N,"actor,producer,soundtrack","tt0361127,tt0327056,tt0164052,tt0087277"
nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack","tt0120586,tt0115963,tt0181875,tt0089908"
nm0000104,Antonio Banderas,1960,\N,"actor,soundtrack,producer","tt0112851,tt1189073,tt0120746,tt0120657"
nm0000105,Adrienne Barbeau,1945,\N,"actress,soundtrack","tt0083767,tt0080749,tt0082340,tt0090685"
nm0000106,Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0343660,tt0120631,tt0151738,tt0160127"
nm0000107,Kim Basinger,1953,\N,"actress,soundtrack,producer","tt0119488,tt0108525,tt0337921,tt0096895"
nm0000108,Luc Besson,1959,\N,"writer,producer,director","tt0119116,tt0100263,tt2872732,tt0110413"
nm0000109,Yasmine Bleeth,1968,\N,actress,"tt0096542,tt0115285,tt0131857,tt0337851"
nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt0116477,tt3402236,tt0107616,tt0097499"
nm0000111,Matthew Broderick,1962,\N,"actor,soundtrack,director","tt0086567,tt0091042,tt0115798,tt0395251"
nm0000112,Pierce Brosnan,1953,\N,"actor,producer,soundtrack","tt0155267,tt0795421,tt0143145,tt0120347"
nm0000113,Sandra Bullock,1964,\N,"producer,actress,soundtrack","tt1041829,tt0212346,tt0111257,tt1454468"
nm0000114,Steve Buscemi,1957,\N,"actor,director,producer","tt0116282,tt0162346,tt4686844,tt0105236"
nm0000115,Nicolas Cage,1964,\N,"actor,producer,soundtrack","tt0117500,tt0435705,tt0119094,tt0113627"
nm0000116,James Cameron,1954,\N,"writer,producer,director","tt0120338,tt0499549,tt0090605,tt1630029"
nm0000117,Neve Campbell,1973,\N,"actress,producer,soundtrack","tt0134084,tt0117571,tt0120082,tt0120890"
nm0000118,John Carpenter,1948,\N,"soundtrack,music_department,writer","tt0077651,tt0069945,tt0082340,tt0080749"
nm0000119,Tia Carrere,\N,\N,"actress,soundtrack,producer","tt0207919,tt0111503,tt0105793,tt0275847"
nm0000120,Jim Carrey,1962,\N,"actor,writer,soundtrack","tt0315327,tt0109040,tt0338013,tt0110475"
nm0000121,Phoebe Cates,1963,\N,"actress,soundtrack","tt0101775,tt0087363,tt0083929,tt0086143"
nm0000122,Charles Chaplin,1889,1977,"soundtrack,writer,actor","tt0027977,tt0044837,tt0032553,tt0021749"
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt0465538,tt1124035,tt1193138,tt0433383"
nm0000124,Jennifer Connelly,1970,\N,"actress,producer","tt0180093,tt0286716,tt0315983,tt0268978"
nm0000125,Sean Connery,1930,2020,"actor,producer,soundtrack","tt0094226,tt0117500,tt0055928,tt0091605"
nm0000126,Kevin Costner,1955,\N,"actor,producer,soundtrack","tt0102798,tt0103855,tt0119925,tt0099348"
nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0087800,tt0105121,tt0111686,tt0117571"
nm0000128,Russell Crowe,1964,\N,"actor,soundtrack,producer","tt1707386,tt0119488,tt0268978,tt0172495"
nm0000129,Tom Cruise,1962,\N,"actor,producer,soundtrack","tt0325710,tt0120755,tt0116695,tt0092099"
nm0000130,Jamie Lee Curtis,1958,\N,"actress,producer,director","tt1502407,tt0111503,tt6710474,tt0120694"
nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0098258,tt0450385,tt0119229,tt0146882"
nm0000132,Claire Danes,1979,\N,"actress,producer,soundtrack","tt0117509,tt0108872,tt0274558,tt1796960"
nm0000133,Geena Davis,1956,\N,"actress,producer,soundtrack","tt0104694,tt0116908,tt0091064,tt0103074"
nm0000134,Robert De Niro,1943,\N,"actor,producer,soundtrack","tt0075314,tt0101540,tt0070379,tt0081398"
nm0000135,John Denver,1943,1997,"music_artist,soundtrack,music_department","tt0076489,tt4649466,tt0299328,tt0120591"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0408236,tt0367594,tt0325980,tt0449088"
nm0000137,Bo Derek,1956,\N,"actress,producer,camera_department","tt0083170,tt0099656,tt0114694,tt0086987"
nm0000138,Leonardo DiCaprio,1974,\N,"producer,actor,soundtrack","tt1375666,tt0120338,tt0407887,tt0993846"
nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0160127,tt0129387,tt0259711,tt0119738"
nm0000140,Michael Douglas,1944,\N,"actor,producer,soundtrack","tt0093010,tt0094291,tt1291580,tt0088011"
nm0000141,David Duchovny,1960,\N,"actor,producer,director","tt0106179,tt0904208,tt0251075,tt0120902"
nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0112579,tt0105695,tt0405159,tt1205489"
nm0000143,Erika Eleniak,1969,\N,actress,"tt0106400,tt0083866,tt0094761,tt0105690"
nm0000144,Cary Elwes,1962,\N,"actor,producer,soundtrack","tt0093779,tt0387564,tt0119468,tt0107977"
nm0000145,Sherilyn Fenn,1965,\N,"actress,soundtrack","tt0098936,tt0100935,tt0105046,tt0106471"
nm0000146,Ralph Fiennes,1962,\N,"actor,producer,director","tt1372686,tt2278388,tt0108052,tt0387131"
nm0000147,Colin Firth,1960,\N,"actor,producer,soundtrack","tt0243155,tt1504320,tt2802144,tt1315981"
nm0000148,Harrison Ford,1942,\N,"actor,writer,producer","tt0090329,tt0082971,tt0076759,tt0106977"
nm0000149,Jodie Foster,1962,\N,"actress,director,producer","tt0075314,tt0102926,tt0476964,tt0094608"
nm0000150,Michael J. Fox,1961,\N,"actor,producer,miscellaneous","tt0096874,tt0115369,tt0088763,tt0116365"
nm0000151,Morgan Freeman,1937,\N,"actor,producer,soundtrack","tt0114369,tt0405159,tt0468569,tt0097239"
nm0000152,Richard Gere,1949,\N,"actor,soundtrack,producer","tt0084434,tt0100405,tt0119395,tt0299658"
nm0000153,Gina Gershon,1962,\N,"actress,soundtrack,producer","tt0431308,tt1726669,tt0115736,tt0114436"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0117438,tt0104714,tt0112573,tt0118883"
nm0000155,Whoopi Goldberg,1955,\N,"actress,producer,writer","tt0105417,tt0088939,tt0099653,tt0108147"
nm0000156,Jeff Goldblum,1952,\N,"actor,soundtrack,producer","tt2278388,tt0091064,tt0107290,tt0116629"
nm0000157,Linda Hamilton,1956,\N,"actress,soundtrack","tt0118928,tt0088247,tt6450804,tt0103064"
nm0000158,Tom Hanks,1956,\N,"producer,actor,soundtrack","tt1535109,tt0109830,tt0162222,tt0094737"
nm0000159,Teri Hatcher,1964,\N,"actress,soundtrack,writer","tt0410975,tt0327597,tt0227538,tt0120347"
nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt2209418,tt0381681,tt0139654,tt0112471"
nm0000161,Salma Hayek,1966,\N,"actress,producer,soundtrack","tt0120891,tt0112851,tt1615065,tt0120679"
nm0000162,Anne Heche,1969,2022,"actress,producer,writer","tt0120885,tt0120828,tt0119008,tt0120461"
nm0000163,Dustin Hoffman,1937,\N,"actor,soundtrack,producer","tt0079417,tt0095953,tt0084805,tt0064665"
nm0000164,Anthony Hopkins,1937,\N,"actor,soundtrack,composer","tt0412080,tt0113987,tt0975645,tt0102926"
nm0000165,Ron Howard,1954,\N,"producer,actor,writer","tt0367279,tt0268978,tt0075213,tt0112384"
nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0103484,tt0117998,tt0119822,tt0455805"
nm0000167,Elizabeth Hurley,1965,\N,"actress,producer","tt0105104,tt0118655,tt0230030,tt0145660"
nm0000168,Samuel L. Jackson,1948,\N,"actor,producer,soundtrack","tt0110912,tt0417148,tt4154664,tt3460252"
nm0000169,Tommy Lee Jones,1946,\N,"actor,director,soundtrack","tt0477348,tt0443272,tt2398231,tt0106977"
nm0000170,Milla Jovovich,1975,\N,"actress,soundtrack,producer","tt1220198,tt0120804,tt0119116,tt1220634"
nm0000171,Ashley Judd,1968,\N,"actress,producer,director","tt0119468,tt0470705,tt0113277,tt0150377"
nm0000172,Harvey Keitel,1939,\N,"actor,producer,soundtrack","tt0103759,tt2278388,tt0110912,tt0105236"
nm0000173,Nicole Kidman,1967,\N,"actress,producer,soundtrack","tt0935075,tt0159365,tt0203009,tt0274558"
nm0000174,Val Kilmer,1959,\N,"actor,soundtrack,producer","tt0113277,tt0120053,tt0101761,tt0373469"
nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0091499,tt0324864,tt0083767,tt0111161"
nm0000176,Nastassja Kinski,1961,\N,"actress,producer,soundtrack","tt0080009,tt0083722,tt0087884,tt0111400"
nm0000177,Kevin Kline,1947,\N,"actor,soundtrack,director","tt0106673,tt0113117,tt0120891,tt0095159"
nm0000178,Diane Lane,1965,\N,"actress,soundtrack","tt0086066,tt0328589,tt2096673,tt0250797"
nm0000179,Jude Law,1972,\N,"actor,producer,soundtrack","tt0346156,tt0376541,tt0134119,tt2278388"
nm0000180,David Lean,1908,1991,"editor,director,writer","tt0050212,tt0056172,tt0038574,tt0059113"
nm0000181,Heather Locklear,1961,\N,"actress,producer,soundtrack","tt0098193,tt0380623,tt0119695,tt0103491"
nm0000182,Jennifer Lopez,1969,\N,"music_artist,producer,actress","tt0252076,tt5503686,tt0120780,tt2126357"
nm0000183,Traci Lords,1968,\N,"actress,soundtrack,producer","tt1984153,tt0120611,tt1007028,tt0099329"
nm0000184,George Lucas,1944,\N,"writer,producer,director","tt0069704,tt0066434,tt0076759,tt0082971"
nm0000185,Dolph Lundgren,1957,\N,"actor,producer,director","tt0113481,tt0089927,tt0105698,tt0093507"
nm0000186,David Lynch,1946,\N,"writer,director,producer","tt0105665,tt0098936,tt0166924,tt0460829"
nm0000187,Madonna,1958,\N,"music_artist,soundtrack,actress","tt0246460,tt0156841,tt0116250,tt0104694"
nm0000188,Steve Martin,1945,\N,"writer,actor,producer","tt0093886,tt0102250,tt0383216,tt0079367"
nm0000189,Jenny McCarthy-Wahlberg,1972,\N,"actress,producer,writer","tt0327643,tt0134084,tt0455967,tt0131857"
nm0000190,Matthew McConaughey,1969,\N,"actor,producer,soundtrack","tt0790636,tt0816692,tt1935179,tt1915581"
nm0000191,Ewan McGregor,1971,\N,"actor,producer,writer","tt0203009,tt2763304,tt1322269,tt0117951"
nm0000192,Alyssa Milano,1972,\N,"actress,producer,soundtrack","tt0088944,tt0116287,tt0158552,tt0086827"
nm0000193,Demi Moore,1962,\N,"actress,producer,soundtrack","tt0099653,tt0119173,tt0107211,tt0305357"
nm0000194,Julianne Moore,1960,\N,"actress,producer,soundtrack","tt3316960,tt0118749,tt0297884,tt0842926"
nm0000195,Bill Murray,1950,\N,"actor,soundtrack,writer","tt1748122,tt0128445,tt0335266,tt0362270"
nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0118655,tt0295178,tt0145660,tt0811138"
nm0000197,Jack Nicholson,1937,\N,"actor,soundtrack,producer","tt0071315,tt0073486,tt0407887,tt0119822"
nm0000198,Gary Oldman,1958,\N,"actor,producer,soundtrack","tt4555426,tt1340800,tt0103874,tt0468569"
nm0000199,Al Pacino,1940,\N,"actor,director,soundtrack","tt0068646,tt0072890,tt0070666,tt0099422"
nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0112384,tt0090605,tt0264616,tt0117998"
nm0000201,Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer","tt0161081,tt0117247,tt0427327,tt5109784"
nm0000202,Ryan Phillippe,1974,\N,"actor,producer,director","tt0280707,tt0375679,tt0120577,tt0139134"
nm0000203,River Phoenix,1970,1993,"actor,soundtrack","tt0092005,tt0102494,tt0096018,tt0091557"
nm0000204,Natalie Portman,1981,\N,"actress,producer,soundtrack","tt0947798,tt0434409,tt0110413,tt0376541"
nm0000205,Parker Posey,1968,\N,"actress,producer,soundtrack","tt0134084,tt0106677,tt0348150,tt0359013"
nm0000206,Keanu Reeves,1964,\N,"actor,producer,soundtrack","tt0102685,tt0133093,tt0111257,tt0234215"
nm0000207,Christina Ricci,1980,\N,"actress,producer,soundtrack","tt0112642,tt0100140,tt0811080,tt0118789"
nm0000208,Molly Ringwald,1968,\N,"actress,soundtrack,music_department","tt0088128,tt0091790,tt0095169,tt0088847"
nm0000209,Tim Robbins,1958,\N,"actor,producer,director","tt0327056,tt0111161,tt0105151,tt0091225"
nm0000210,Julia Roberts,1967,\N,"actress,producer,soundtrack","tt0100405,tt1322269,tt0195685,tt0119738"
nm0000211,Mimi Rogers,1956,\N,"actress,producer,soundtrack","tt0488085,tt0210070,tt0118655,tt0120738"
nm0000212,Meg Ryan,1961,\N,"actress,producer,director","tt0108160,tt0098635,tt0128853,tt0120632"
nm0000213,Winona Ryder,1971,\N,"actress,producer,soundtrack","tt0172493,tt0100140,tt0110367,tt0099487"
nm0000214,Mia Sara,1967,\N,"actress,soundtrack","tt0312098,tt0111438,tt0089469,tt0091042"
nm0000215,Susan Sarandon,1946,\N,"actress,producer,soundtrack","tt0109446,tt0112818,tt0120686,tt0103074"
nm0000216,Arnold Schwarzenegger,1947,\N,"actor,producer,director","tt0088247,tt0216216,tt0107362,tt0103064"
nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt0070379,tt0099685,tt0075314,tt5537002"
nm0000218,Kristin Scott Thomas,1960,\N,"actress,soundtrack,writer","tt0109831,tt1602613,tt0280707,tt0116209"
nm0000219,Steven Seagal,1952,\N,"actor,producer,writer","tt0110725,tt0094602,tt0105690,tt0114781"
nm0000220,Joan Severance,1958,\N,"actress,producer,miscellaneous","tt0112519,tt0098282,tt0143050,tt0099141"
nm0000221,Charlie Sheen,1965,\N,"actor,producer,soundtrack","tt0094291,tt0369179,tt0108333,tt0107144"
nm0000222,Brooke Shields,1965,\N,"actress,producer,soundtrack","tt0082329,tt0078111,tt0080453,tt0080116"
nm0000223,Elisabeth Shue,1963,\N,"actress,producer,soundtrack","tt0120053,tt0113627,tt0164052,tt0092513"
nm0000224,Alicia Silverstone,1976,\N,"actress,producer,soundtrack","tt0124298,tt0119086,tt0118688,tt0112697"
nm0000225,Christian Slater,1969,\N,"actor,producer,soundtrack","tt0115759,tt0108399,tt0124198,tt0102798"
nm0000226,Will Smith,1968,\N,"producer,actor,soundtrack","tt0098800,tt0120891,tt0480249,tt0119654"
nm0000227,Mira Sorvino,1967,\N,"actress,producer,soundtrack","tt0113819,tt0120032,tt0364343,tt0120008"
nm0000228,Kevin Spacey,1959,\N,"actor,producer,soundtrack","tt0114369,tt0114814,tt0169547,tt0119488"
nm0000229,Steven Spielberg,1946,\N,"producer,writer,director","tt0120815,tt0082971,tt0083866,tt0108052"
nm0000230,Sylvester Stallone,1946,\N,"actor,producer,writer","tt0075148,tt0084602,tt3076658,tt0089927"
nm0000231,Oliver Stone,1946,\N,"director,producer,writer","tt0091763,tt0096969,tt0102138,tt0110632"
nm0000232,Sharon Stone,1958,\N,"actress,producer,soundtrack","tt0103772,tt0108162,tt0112641,tt0114214"
nm0000233,Quentin Tarantino,1963,\N,"writer,actor,producer","tt0105236,tt0110912,tt7131622,tt0116367"
nm0000234,Charlize Theron,1975,\N,"producer,actress,soundtrack","tt5610554,tt1392190,tt0340855,tt1735898"
nm0000235,Uma Thurman,1970,\N,"actress,producer,soundtrack","tt0110912,tt0266697,tt0118688,tt0378194"
nm0000236,Jennifer Tilly,1958,\N,"actress,soundtrack,writer","tt0109348,tt0387575,tt0144120,tt0115736"
nm0000237,John Travolta,1954,\N,"actor,soundtrack,producer","tt0110912,tt0113161,tt0077631,tt0076666"
nm0000238,Shannon Tweed,1957,\N,"actress,producer,miscellaneous","tt0165710,tt0112942,tt0110675,tt0094834"
nm0000239,Liv Tyler,1977,\N,"actress,producer,soundtrack","tt0120737,tt0167260,tt0482606,tt0120591"
nm0000240,Skeet Ulrich,1970,\N,"actor,soundtrack,director","tt0409572,tt0913354,tt0115963,tt0117571"
nm0000241,Jean-Claude Van Damme,1960,\N,"actor,writer,producer","tt0097659,tt1130988,tt0119013,tt0101764"
nm0000242,Mark Wahlberg,1971,\N,"producer,actor,soundtrack","tt1637725,tt0964517,tt0407887,tt0118749"
nm0000243,Denzel Washington,1954,\N,"actor,producer,director","tt0139654,tt1037705,tt0168786,tt2671706"
